3581943079823516,Itch,Breen,Platalea leucordia,01/05/2003
4888411098563,Marcello,Mayhead,Macropus agilis,02/26/2001
3574065767586483,Harriott,Romaynes,unavailable,09/17/2002
348944444975049,Fonzie,Snepp,Cercopithecus aethiops,08/22/1996
4936797378160636,Angeline,Bethel,Eumetopias jubatus,06/01/2017
3568469846273709,Pavla,D'Ugo,Chlamydosaurus kingii,11/13/2004
6334967306845870,Jedd,Espinos,Felis concolor,02/07/2003
348593348877056,Talbert,Wasbey,Pseudoleistes virescens,02/05/2006
6763682659540073,Charley,Beste,Corallus hortulanus cooki,06/23/2004
5108757744740593,Therine,Moorey,Corvus albicollis,04/08/2019
677169367772638420,Titos,Golt,Canis lupus lycaon,04/28/2005
3556590987466556,Orion,Miko,Crocuta crocuta,05/13/2014
5641820085840150,Launce,Burless,Butorides striatus,10/18/2017
201444259709720,Viviene,Amps,Myrmecophaga tridactyla,10/28/2002
5100130362051131,Millicent,Nitti,Sus scrofa,02/11/2006
346997506646595,Ellissa,Trood,Paradoxurus hermaphroditus,08/12/1991
5602249981837657956,Kassandra,Dallmann,Pycnonotus barbatus,07/10/2007
3557422968557683,Anstice,Peris,Kobus leche robertsi,04/06/1999
4017952321400447,Emmalyn,Dencs,Zosterops pallidus,02/26/2007
6767194668181714765,Barbabas,Mum,Gymnorhina tibicen,02/13/1999
3562005720171233,Gerome,Landsbury,Anhinga rufa,06/16/2009
3531711927199798,Ahmed,O'Heagertie,Grus canadensis,09/02/2003
30174976183589,Leilah,Gawthorp,Hippotragus niger,09/06/1999
5100138696810213,Northrop,Meldon,unavailable,06/27/2012
5500963357470643,Averyl,Hodge,Phylurus milli,04/19/2018
6334189559174509682,Addi,Kinnard,Bos mutus,04/17/1996
4903532822101578263,Gwenny,Jinks,Alectura lathami,08/20/1998
3552091744667374,Issi,Aickin,Rhea americana,08/10/2015
5488602046959030,Laurens,Oultram,Leptoptilos crumeniferus,04/06/1996
5038191062295490977,Vito,King,Catharacta skua,11/07/2011
3581423411266898,Willow,Barritt,Uraeginthus angolensis,12/27/2007
3537520809211231,Harrie,McCaig,Sterna paradisaea,04/09/1992
5108757424439276,Arni,Morrad,unavailable,01/09/2004
4041597750256,Anatola,Hakking,Phalacrocorax carbo,01/14/1993
3552756756475409,Lemmie,Franceschino,Phaethon aethereus,05/31/2008
201821874724467,William,Ferens,Propithecus verreauxi,05/04/1995
5602223769622472,Dari,Lyles,Microcavia australis,05/19/2007
3559668111321686,Phillie,Fleet,Lemur fulvus,07/23/1991
3562729169649405,Estrella,Iskov,Spermophilus richardsonii,10/01/2018
3577708009419479,Chancey,Roff,Alopochen aegyptiacus,03/31/1992
564182681523138800,Winnie,Crayden,Anastomus oscitans,10/20/2002
