30223234511303,Centidel,12/02/2015,Tayassu tajacu
371271169618715,Skipstorm,03/30/2016,Grus canadensis
6763057836602659761,Voonte,07/11/2014,Pseudalopex gymnocercus
3537866078394855,Tazz,07/10/2003,Antidorcas marsupialis
5579793270828312,Eabox,03/30/2011,Lycaon pictus
6394602237190503,Realbuzz,12/30/2015,Bubalus arnee
5507902498264161,Dazzlesphere,10/22/2012,Platalea leucordia
3559683280485469,Realcube,09/09/2006,Agkistrodon piscivorus
373683362044655,Jatri,05/30/2014,Dendrocygna viduata
6371608491925895,Zoomcast,06/18/2016,Himantopus himantopus
